epoch,seed,hidden_units,error,linearity
520,0,100,6.270834e-07,0.9850173
521,0,100,5.338566e-07,0.9844835
522,0,100,4.565596e-07,0.9838093
523,0,100,4.18869e-07,0.983144
524,0,100,4.282432e-07,0.9824541
525,0,100,3.335668e-07,0.9816713
526,0,100,3.551626e-07,0.9808077
527,0,100,3.34477e-07,0.9799119
528,0,100,2.957086e-07,0.9789951
529,0,100,3.555847e-07,0.977812
530,0,100,2.726541e-07,0.9766226
531,0,100,2.046293e-07,0.9753572
532,0,100,2.137567e-07,0.9742194
533,0,100,2.431217e-07,0.972899
534,0,100,2.012614e-07,0.971532
535,0,100,1.713912e-07,0.9698717
536,0,100,1.855602e-07,0.9682441
537,0,100,1.815438e-07,0.9667587
538,0,100,1.358631e-07,0.9649683
539,0,100,1.135319e-07,0.9631204
540,0,100,1.17248e-07,0.9609364
541,0,100,1.531299e-07,0.9586148
542,0,100,1.300635e-07,0.9559395
543,0,100,8.998772e-08,0.9535338
544,0,100,1.538977e-07,0.9502372
545,0,100,1.260144e-07,0.9474016
546,0,100,9.421585e-08,0.9444655
547,0,100,8.334322e-08,0.9413022
548,0,100,1.039565e-07,0.9378735
549,0,100,7.105319e-08,0.9341528
550,0,100,4.014921e-08,0.9300131
551,0,100,8.408483e-08,0.9261361
552,0,100,7.316877e-08,0.9217088
553,0,100,1.015703e-07,0.9167519
554,0,100,7.157333e-08,0.9116355
555,0,100,1.456082e-07,0.9058862
556,0,100,1.296154e-07,0.9003764
557,0,100,8.074446e-08,0.8948192
558,0,100,8.384702e-08,0.8887106
559,0,100,5.738754e-08,0.8822703
560,0,100,4.374442e-08,0.8752744
561,0,100,5.963443e-08,0.8678675
562,0,100,5.765133e-08,0.8599989
563,0,100,2.349011e-08,0.8534657
564,0,100,5.429461e-08,0.84447
565,0,100,4.336354e-08,0.8363455
566,0,100,6.853399e-08,0.8276308
567,0,100,2.543297e-08,0.8180493
568,0,100,2.679267e-08,0.8077895
569,0,100,4.990891e-08,0.7977932
570,0,100,6.014732e-08,0.7859901
571,0,100,1.563516e-08,0.7766218
572,0,100,4.051723e-08,0.7645392
573,0,100,4.246746e-08,0.7510595
574,0,100,2.598541e-08,0.7393009
575,0,100,2.795907e-08,0.7263695
576,0,100,-1.775882e-08,0.7124066
577,0,100,5.397145e-08,0.6978095
578,0,100,3.19971e-09,0.6837242
579,0,100,4.901956e-08,0.6694111
580,0,100,5.160802e-08,0.653869
581,0,100,6.61223e-08,0.6387487
582,0,100,7.97608e-08,0.6228472
583,0,100,2.961846e-08,0.6073269
584,0,100,2.447474e-08,0.5931559
585,0,100,3.782231e-08,0.5782431
586,0,100,2.582919e-08,0.5632327
587,0,100,4.365577e-08,0.5488176
588,0,100,4.657435e-08,0.534705
589,0,100,2.08852e-08,0.5196679
590,0,100,3.006749e-08,0.5047162
591,0,100,5.624674e-08,0.4895627
592,0,100,4.815704e-08,0.4744474
593,0,100,3.440834e-08,0.4605736
594,0,100,5.284003e-08,0.4475869
595,0,100,6.23395e-08,0.4286579
596,0,100,5.783854e-08,0.4112374
597,0,100,2.681546e-08,0.4004195
598,0,100,4.406886e-08,0.3811974
599,0,100,5.357617e-08,0.3666433
600,0,100,6.460349e-09,0.3510328
601,0,100,1.001892e-08,0.3372155
602,0,100,1.685274e-08,0.3224782
603,0,100,1.117207e-08,0.3114268
604,0,100,-1.362774e-09,0.2936118
